Personel Notebook - A2 ZAMAN & SAATLER (1441 Kelime)
====================================================

No   | Saat  | English                              | Türkçe
381  | 06:19 | nineteen minutes past six a.m.       | sabah altıyı on dokuz geçiyor
382  | 06:20 | twenty past six a.m.                 | sabah altıyı yirmi geçiyor
383  | 06:21 | twenty-one minutes past six a.m.     | sabah altıyı yirmi bir geçiyor
384  | 06:22 | twenty-two minutes past six a.m.     | sabah altıyı yirmi iki geçiyor
385  | 06:23 | twenty-three minutes past six a.m.   | sabah altıyı yirmi üç geçiyor
386  | 06:24 | twenty-four minutes past six a.m.    | sabah altıyı yirmi dört geçiyor
387  | 06:25 | twenty-five past six a.m.            | sabah altıyı yirmi beş geçiyor
388  | 06:26 | twenty-six minutes past six a.m.     | sabah altıyı yirmi altı geçiyor
389  | 06:27 | twenty-seven minutes past six a.m.   | sabah altıyı yirmi yedi geçiyor
390  | 06:28 | twenty-eight minutes past six a.m.   | sabah altıyı yirmi sekiz geçiyor
391  | 06:29 | twenty-nine minutes past six a.m.    | sabah altıyı yirmi dokuz geçiyor
392  | 06:30 | half past six a.m.                   | sabah altı buçuk
393  | 06:31 | twenty-nine minutes to seven a.m.    | sabah yediye yirmi dokuz var
394  | 06:32 | twenty-eight minutes to seven a.m.   | sabah yediye yirmi sekiz var
395  | 06:33 | twenty-seven minutes to seven a.m.   | sabah yediye yirmi yedi var
396  | 06:34 | twenty-six minutes to seven a.m.     | sabah yediye yirmi altı var
397  | 06:35 | twenty-five to seven a.m.            | sabah yediye yirmi beş var
398  | 06:36 | twenty-four minutes to seven a.m.    | sabah yediye yirmi dört var
399  | 06:37 | twenty-three minutes to seven a.m.   | sabah yediye yirmi üç var
400  | 06:38 | twenty-two minutes to seven a.m.     | sabah yediye yirmi iki var
401  | 06:39 | twenty-one minutes to seven a.m.     | sabah yediye yirmi bir var
402  | 06:40 | twenty to seven a.m.                 | sabah yediye yirmi var
403  | 06:41 | nineteen minutes to seven a.m.       | sabah yediye on dokuz var
404  | 06:42 | eighteen minutes to seven a.m.       | sabah yediye on sekiz var
405  | 06:43 | seventeen minutes to seven a.m.      | sabah yediye on yedi var
406  | 06:44 | sixteen minutes to seven a.m.        | sabah yediye on altı var
407  | 06:45 | a quarter to seven a.m.              | sabah yediye çeyrek var
408  | 06:46 | fourteen minutes to seven a.m.       | sabah yediye on dört var
409  | 06:47 | thirteen minutes to seven a.m.       | sabah yediye on üç var
410  | 06:48 | twelve minutes to seven a.m.         | sabah yediye on iki var
411  | 06:49 | eleven minutes to seven a.m.         | sabah yediye on bir var
412  | 06:50 | ten to seven a.m.                    | sabah yediye on var
413  | 06:51 | nine minutes to seven a.m.           | sabah yediye dokuz var
414  | 06:52 | eight minutes to seven a.m.          | sabah yediye sekiz var
415  | 06:53 | seven minutes to seven a.m.          | sabah yediye yedi var
416  | 06:54 | six minutes to seven a.m.            | sabah yediye altı var
417  | 06:55 | five to seven a.m.                   | sabah yediye beş var
418  | 06:56 | four minutes to seven a.m.           | sabah yediye dört var
419  | 06:57 | three minutes to seven a.m.          | sabah yediye üç var
420  | 06:58 | two minutes to seven a.m.            | sabah yediye iki var
421  | 06:59 | one minute to seven a.m.             | sabah yediye bir var
422  | 07:00 | seven o'clock a.m.                   | sabah yedi
423  | 07:01 | one minute past seven a.m.           | sabah yediyi bir geçiyor
424  | 07:02 | two minutes past seven a.m.          | sabah yediyi iki geçiyor
425  | 07:03 | three minutes past seven a.m.        | sabah yediyi üç geçiyor
426  | 07:04 | four minutes past seven a.m.         | sabah yediyi dört geçiyor
427  | 07:05 | five past seven a.m.                 | sabah yediyi beş geçiyor
428  | 07:06 | six minutes past seven a.m.          | sabah yediyi altı geçiyor
429  | 07:07 | seven minutes past seven a.m.        | sabah yediyi yedi geçiyor
430  | 07:08 | eight minutes past seven a.m.        | sabah yediyi sekiz geçiyor
431  | 07:09 | nine minutes past seven a.m.         | sabah yediyi dokuz geçiyor
432  | 07:10 | ten past seven a.m.                  | sabah yediyi on geçiyor
433  | 07:11 | eleven minutes past seven a.m.       | sabah yediyi on bir geçiyor
434  | 07:12 | twelve minutes past seven a.m.       | sabah yediyi on iki geçiyor
435  | 07:13 | thirteen minutes past seven a.m.     | sabah yediyi on üç geçiyor
436  | 07:14 | fourteen minutes past seven a.m.     | sabah yediyi on dört geçiyor
437  | 07:15 | a quarter past seven a.m.            | sabah yediyi çeyrek geçiyor
438  | 07:16 | sixteen minutes past seven a.m.      | sabah yediyi on altı geçiyor
439  | 07:17 | seventeen minutes past seven a.m.    | sabah yediyi on yedi geçiyor
440  | 07:18 | eighteen minutes past seven a.m.     | sabah yediyi on sekiz geçiyor
441  | 07:19 | nineteen minutes past seven a.m.     | sabah yediyi on dokuz geçiyor
442  | 07:20 | twenty past seven a.m.               | sabah yediyi yirmi geçiyor
443  | 07:21 | twenty-one minutes past seven a.m.   | sabah yediyi yirmi bir geçiyor
444  | 07:22 | twenty-two minutes past seven a.m.   | sabah yediyi yirmi iki geçiyor
445  | 07:23 | twenty-three minutes past seven a.m. | sabah yediyi yirmi üç geçiyor
446  | 07:24 | twenty-four minutes past seven a.m.  | sabah yediyi yirmi dört geçiyor
447  | 07:25 | twenty-five past seven a.m.          | sabah yediyi yirmi beş geçiyor
448  | 07:26 | twenty-six minutes past seven a.m.   | sabah yediyi yirmi altı geçiyor
449  | 07:27 | twenty-seven minutes past seven a.m. | sabah yediyi yirmi yedi geçiyor
450  | 07:28 | twenty-eight minutes past seven a.m. | sabah yediyi yirmi sekiz geçiyor
451  | 07:29 | twenty-nine minutes past seven a.m.  | sabah yediyi yirmi dokuz geçiyor
452  | 07:30 | half past seven a.m.                 | sabah yedi buçuk
453  | 07:31 | twenty-nine minutes to eight a.m.    | sabah sekize yirmi dokuz var
454  | 07:32 | twenty-eight minutes to eight a.m.   | sabah sekize yirmi sekiz var
455  | 07:33 | twenty-seven minutes to eight a.m.   | sabah sekize yirmi yedi var
456  | 07:34 | twenty-six minutes to eight a.m.     | sabah sekize yirmi altı var
457  | 07:35 | twenty-five to eight a.m.            | sabah sekize yirmi beş var
458  | 07:36 | twenty-four minutes to eight a.m.    | sabah sekize yirmi dört var
459  | 07:37 | twenty-three minutes to eight a.m.   | sabah sekize yirmi üç var
460  | 07:38 | twenty-two minutes to eight a.m.     | sabah sekize yirmi iki var
461  | 07:39 | twenty-one minutes to eight a.m.     | sabah sekize yirmi bir var
462  | 07:40 | twenty to eight a.m.                 | sabah sekize yirmi var
463  | 07:41 | nineteen minutes to eight a.m.       | sabah sekize on dokuz var
464  | 07:42 | eighteen minutes to eight a.m.       | sabah sekize on sekiz var
465  | 07:43 | seventeen minutes to eight a.m.      | sabah sekize on yedi var
466  | 07:44 | sixteen minutes to eight a.m.        | sabah sekize on altı var
467  | 07:45 | a quarter to eight a.m.              | sabah sekize çeyrek var
468  | 07:46 | fourteen minutes to eight a.m.       | sabah sekize on dört var
469  | 07:47 | thirteen minutes to eight a.m.       | sabah sekize on üç var
470  | 07:48 | twelve minutes to eight a.m.         | sabah sekize on iki var
471  | 07:49 | eleven minutes to eight a.m.         | sabah sekize on bir var
472  | 07:50 | ten to eight a.m.                    | sabah sekize on var
473  | 07:51 | nine minutes to eight a.m.           | sabah sekize dokuz var
474  | 07:52 | eight minutes to eight a.m.          | sabah sekize sekiz var
475  | 07:53 | seven minutes to eight a.m.          | sabah sekize yedi var
476  | 07:54 | six minutes to eight a.m.            | sabah sekize altı var
477  | 07:55 | five to eight a.m.                   | sabah sekize beş var
478  | 07:56 | four minutes to eight a.m.           | sabah sekize dört var
479  | 07:57 | three minutes to eight a.m.          | sabah sekize üç var
480  | 07:58 | two minutes to eight a.m.            | sabah sekize iki var
481  | 07:59 | one minute to eight a.m.             | sabah sekize bir var
482  | 08:00 | eight o'clock a.m.                   | sabah sekiz
483  | 08:01 | one minute past eight a.m.           | sabah sekizi bir geçiyor
484  | 08:02 | two minutes past eight a.m.          | sabah sekizi iki geçiyor
485  | 08:03 | three minutes past eight a.m.        | sabah sekizi üç geçiyor
486  | 08:04 | four minutes past eight a.m.         | sabah sekizi dört geçiyor
487  | 08:05 | five past eight a.m.                 | sabah sekizi beş geçiyor
488  | 08:06 | six minutes past eight a.m.          | sabah sekizi altı geçiyor
489  | 08:07 | seven minutes past eight a.m.        | sabah sekizi yedi geçiyor
490  | 08:08 | eight minutes past eight a.m.        | sabah sekizi sekiz geçiyor
491  | 08:09 | nine minutes past eight a.m.         | sabah sekizi dokuz geçiyor
492  | 08:10 | ten past eight a.m.                  | sabah sekizi on geçiyor
493  | 08:11 | eleven minutes past eight a.m.       | sabah sekizi on bir geçiyor
494  | 08:12 | twelve minutes past eight a.m.       | sabah sekizi on iki geçiyor
495  | 08:13 | thirteen minutes past eight a.m.     | sabah sekizi on üç geçiyor
496  | 08:14 | fourteen minutes past eight a.m.     | sabah sekizi on dört geçiyor
497  | 08:15 | a quarter past eight a.m.            | sabah sekizi çeyrek geçiyor
498  | 08:16 | sixteen minutes past eight a.m.      | sabah sekizi on altı geçiyor
499  | 08:17 | seventeen minutes past eight a.m.    | sabah sekizi on yedi geçiyor
500  | 08:18 | eighteen minutes past eight a.m.     | sabah sekizi on sekiz geçiyor
501  | 08:19 | nineteen minutes past eight a.m.     | sabah sekizi on dokuz geçiyor
502  | 08:20 | twenty past eight a.m.               | sabah sekizi yirmi geçiyor
503  | 08:21 | twenty-one minutes past eight a.m.   | sabah sekizi yirmi bir geçiyor
504  | 08:22 | twenty-two minutes past eight a.m.   | sabah sekizi yirmi iki geçiyor
505  | 08:23 | twenty-three minutes past eight a.m. | sabah sekizi yirmi üç geçiyor
506  | 08:24 | twenty-four minutes past eight a.m.  | sabah sekizi yirmi dört geçiyor
507  | 08:25 | twenty-five past eight a.m.          | sabah sekizi yirmi beş geçiyor
508  | 08:26 | twenty-six minutes past eight a.m.   | sabah sekizi yirmi altı geçiyor
509  | 08:27 | twenty-seven minutes past eight a.m. | sabah sekizi yirmi yedi geçiyor
510  | 08:28 | twenty-eight minutes past eight a.m. | sabah sekizi yirmi sekiz geçiyor
511  | 08:29 | twenty-nine minutes past eight a.m.  | sabah sekizi yirmi dokuz geçiyor
512  | 08:30 | half past eight a.m.                 | sabah sekiz buçuk
513  | 08:31 | twenty-nine minutes to nine a.m.     | sabah dokuza yirmi dokuz var
514  | 08:32 | twenty-eight minutes to nine a.m.    | sabah dokuza yirmi sekiz var
515  | 08:33 | twenty-seven minutes to nine a.m.    | sabah dokuza yirmi yedi var
516  | 08:34 | twenty-six minutes to nine a.m.      | sabah dokuza yirmi altı var
517  | 08:35 | twenty-five to nine a.m.             | sabah dokuza yirmi beş var
518  | 08:36 | twenty-four minutes to nine a.m.     | sabah dokuza yirmi dört var
519  | 08:37 | twenty-three minutes to nine a.m.    | sabah dokuza yirmi üç var
520  | 08:38 | twenty-two minutes to nine a.m.      | sabah dokuza yirmi iki var
521  | 08:39 | twenty-one minutes to nine a.m.      | sabah dokuza yirmi bir var
522  | 08:40 | twenty to nine a.m.                  | sabah dokuza yirmi var
523  | 08:41 | nineteen minutes to nine a.m.        | sabah dokuza on dokuz var
524  | 08:42 | eighteen minutes to nine a.m.        | sabah dokuza on sekiz var
525  | 08:43 | seventeen minutes to nine a.m.       | sabah dokuza on yedi var
526  | 08:44 | sixteen minutes to nine a.m.         | sabah dokuza on altı var
527  | 08:45 | a quarter to nine a.m.               | sabah dokuza çeyrek var
528  | 08:46 | fourteen minutes to nine a.m.        | sabah dokuza on dört var
529  | 08:47 | thirteen minutes to nine a.m.        | sabah dokuza on üç var
530  | 08:48 | twelve minutes to nine a.m.          | sabah dokuza on iki var
531  | 08:49 | eleven minutes to nine a.m.          | sabah dokuza on bir var
532  | 08:50 | ten to nine a.m.                     | sabah dokuza on var
533  | 08:51 | nine minutes to nine a.m.            | sabah dokuza dokuz var
534  | 08:52 | eight minutes to nine a.m.           | sabah dokuza sekiz var
535  | 08:53 | seven minutes to nine a.m.           | sabah dokuza yedi var
536  | 08:54 | six minutes to nine a.m.             | sabah dokuza altı var
537  | 08:55 | five to nine a.m.                    | sabah dokuza beş var
538  | 08:56 | four minutes to nine a.m.            | sabah dokuza dört var
539  | 08:57 | three minutes to nine a.m.           | sabah dokuza üç var
540  | 08:58 | two minutes to nine a.m.             | sabah dokuza iki var
541  | 08:59 | one minute to nine a.m.              | sabah dokuza bir var
542  | 09:00 | nine o'clock a.m.                    | sabah dokuz
543  | 09:01 | one minute past nine a.m.            | sabah dokuzu bir geçiyor
544  | 09:02 | two minutes past nine a.m.           | sabah dokuzu iki geçiyor
545  | 09:03 | three minutes past nine a.m.         | sabah dokuzu üç geçiyor
546  | 09:04 | four minutes past nine a.m.          | sabah dokuzu dört geçiyor
547  | 09:05 | five past nine a.m.                  | sabah dokuzu beş geçiyor
548  | 09:06 | six minutes past nine a.m.           | sabah dokuzu altı geçiyor
549  | 09:07 | seven minutes past nine a.m.         | sabah dokuzu yedi geçiyor
550  | 09:08 | eight minutes past nine a.m.         | sabah dokuzu sekiz geçiyor
551  | 09:09 | nine minutes past nine a.m.          | sabah dokuzu dokuz geçiyor
552  | 09:10 | ten past nine a.m.                   | sabah dokuzu on geçiyor
553  | 09:11 | eleven minutes past nine a.m.        | sabah dokuzu on bir geçiyor
554  | 09:12 | twelve minutes past nine a.m.        | sabah dokuzu on iki geçiyor
555  | 09:13 | thirteen minutes past nine a.m.      | sabah dokuzu on üç geçiyor
556  | 09:14 | fourteen minutes past nine a.m.      | sabah dokuzu on dört geçiyor
557  | 09:15 | a quarter past nine a.m.             | sabah dokuzu çeyrek geçiyor
558  | 09:16 | sixteen minutes past nine a.m.       | sabah dokuzu on altı geçiyor
559  | 09:17 | seventeen minutes past nine a.m.     | sabah dokuzu on yedi geçiyor
560  | 09:18 | eighteen minutes past nine a.m.      | sabah dokuzu on sekiz geçiyor
561  | 09:19 | nineteen minutes past nine a.m.      | sabah dokuzu on dokuz geçiyor
562  | 09:20 | twenty past nine a.m.                | sabah dokuzu yirmi geçiyor
563  | 09:21 | twenty-one minutes past nine a.m.    | sabah dokuzu yirmi bir geçiyor
564  | 09:22 | twenty-two minutes past nine a.m.    | sabah dokuzu yirmi iki geçiyor
565  | 09:23 | twenty-three minutes past nine a.m.  | sabah dokuzu yirmi üç geçiyor
566  | 09:24 | twenty-four minutes past nine a.m.   | sabah dokuzu yirmi dört geçiyor
567  | 09:25 | twenty-five past nine a.m.           | sabah dokuzu yirmi beş geçiyor
568  | 09:26 | twenty-six minutes past nine a.m.    | sabah dokuzu yirmi altı geçiyor
569  | 09:27 | twenty-seven minutes past nine a.m.  | sabah dokuzu yirmi yedi geçiyor
570  | 09:28 | twenty-eight minutes past nine a.m.  | sabah dokuzu yirmi sekiz geçiyor
571  | 09:29 | twenty-nine minutes past nine a.m.   | sabah dokuzu yirmi dokuz geçiyor
572  | 09:30 | half past nine a.m.                  | sabah dokuz buçuk
573  | 09:31 | twenty-nine minutes to ten a.m.      | sabah ona yirmi dokuz var
574  | 09:32 | twenty-eight minutes to ten a.m.     | sabah ona yirmi sekiz var
575  | 09:33 | twenty-seven minutes to ten a.m.     | sabah ona yirmi yedi var
576  | 09:34 | twenty-six minutes to ten a.m.       | sabah ona yirmi altı var
577  | 09:35 | twenty-five to ten a.m.              | sabah ona yirmi beş var
578  | 09:36 | twenty-four minutes to ten a.m.      | sabah ona yirmi dört var
579  | 09:37 | twenty-three minutes to ten a.m.     | sabah ona yirmi üç var
580  | 09:38 | twenty-two minutes to ten a.m.       | sabah ona yirmi iki var
581  | 09:39 | twenty-one minutes to ten a.m.       | sabah ona yirmi bir var
582  | 09:40 | twenty to ten a.m.                   | sabah ona yirmi var
583  | 09:41 | nineteen minutes to ten a.m.         | sabah ona on dokuz var
584  | 09:42 | eighteen minutes to ten a.m.         | sabah ona on sekiz var
585  | 09:43 | seventeen minutes to ten a.m.        | sabah ona on yedi var
586  | 09:44 | sixteen minutes to ten a.m.          | sabah ona on altı var
587  | 09:45 | a quarter to ten a.m.                | sabah ona çeyrek var
588  | 09:46 | fourteen minutes to ten a.m.         | sabah ona on dört var
589  | 09:47 | thirteen minutes to ten a.m.         | sabah ona on üç var
590  | 09:48 | twelve minutes to ten a.m.           | sabah ona on iki var
591  | 09:49 | eleven minutes to ten a.m.           | sabah ona on bir var
592  | 09:50 | ten to ten a.m.                      | sabah ona on var
593  | 09:51 | nine minutes to ten a.m.             | sabah ona dokuz var
594  | 09:52 | eight minutes to ten a.m.            | sabah ona sekiz var
595  | 09:53 | seven minutes to ten a.m.            | sabah ona yedi var
596  | 09:54 | six minutes to ten a.m.              | sabah ona altı var
597  | 09:55 | five to ten a.m.                     | sabah ona beş var
598  | 09:56 | four minutes to ten a.m.             | sabah ona dört var
599  | 09:57 | three minutes to ten a.m.            | sabah ona üç var
600  | 09:58 | two minutes to ten a.m.              | sabah ona iki var
601  | 09:59 | one minute to ten a.m.               | sabah ona bir var
602  | 10:00 | ten o'clock a.m.                     | sabah on
603  | 10:01 | one minute past ten a.m.             | sabah onu bir geçiyor
604  | 10:02 | two minutes past ten a.m.            | sabah onu iki geçiyor
605  | 10:03 | three minutes past ten a.m.          | sabah onu üç geçiyor
606  | 10:04 | four minutes past ten a.m.           | sabah onu dört geçiyor
607  | 10:05 | five past ten a.m.                   | sabah onu beş geçiyor
608  | 10:06 | six minutes past ten a.m.            | sabah onu altı geçiyor
609  | 10:07 | seven minutes past ten a.m.          | sabah onu yedi geçiyor
610  | 10:08 | eight minutes past ten a.m.          | sabah onu sekiz geçiyor
611  | 10:09 | nine minutes past ten a.m.           | sabah onu dokuz geçiyor
612  | 10:10 | ten past ten a.m.                    | sabah onu on geçiyor
613  | 10:11 | eleven minutes past ten a.m.         | sabah onu on bir geçiyor
614  | 10:12 | twelve minutes past ten a.m.         | sabah onu on iki geçiyor
615  | 10:13 | thirteen minutes past ten a.m.       | sabah onu on üç geçiyor
616  | 10:14 | fourteen minutes past ten a.m.       | sabah onu on dört geçiyor
617  | 10:15 | a quarter past ten a.m.              | sabah onu çeyrek geçiyor
618  | 10:16 | sixteen minutes past ten a.m.        | sabah onu on altı geçiyor
619  | 10:17 | seventeen minutes past ten a.m.      | sabah onu on yedi geçiyor
620  | 10:18 | eighteen minutes past ten a.m.       | sabah onu on sekiz geçiyor
621  | 10:19 | nineteen minutes past ten a.m.       | sabah onu on dokuz geçiyor
622  | 10:20 | twenty past ten a.m.                 | sabah onu yirmi geçiyor
623  | 10:21 | twenty-one minutes past ten a.m.     | sabah onu yirmi bir geçiyor
624  | 10:22 | twenty-two minutes past ten a.m.     | sabah onu yirmi iki geçiyor
625  | 10:23 | twenty-three minutes past ten a.m.   | sabah onu yirmi üç geçiyor
626  | 10:24 | twenty-four minutes past ten a.m.    | sabah onu yirmi dört geçiyor
627  | 10:25 | twenty-five past ten a.m.            | sabah onu yirmi beş geçiyor
628  | 10:26 | twenty-six minutes past ten a.m.     | sabah onu yirmi altı geçiyor
629  | 10:27 | twenty-seven minutes past ten a.m.   | sabah onu yirmi yedi geçiyor
630  | 10:28 | twenty-eight minutes past ten a.m.   | sabah onu yirmi sekiz geçiyor
631  | 10:29 | twenty-nine minutes past ten a.m.    | sabah onu yirmi dokuz geçiyor
632  | 10:30 | half past ten a.m.                   | sabah on buçuk
633  | 10:31 | twenty-nine minutes to eleven a.m.   | sabah on bire yirmi dokuz var
634  | 10:32 | twenty-eight minutes to eleven a.m.  | sabah on bire yirmi sekiz var
635  | 10:33 | twenty-seven minutes to eleven a.m.  | sabah on bire yirmi yedi var
636  | 10:34 | twenty-six minutes to eleven a.m.    | sabah on bire yirmi altı var
637  | 10:35 | twenty-five to eleven a.m.           | sabah on bire yirmi beş var
638  | 10:36 | twenty-four minutes to eleven a.m.   | sabah on bire yirmi dört var
639  | 10:37 | twenty-three minutes to eleven a.m.  | sabah on bire yirmi üç var
640  | 10:38 | twenty-two minutes to eleven a.m.    | sabah on bire yirmi iki var
641  | 10:39 | twenty-one minutes to eleven a.m.    | sabah on bire yirmi bir var
642  | 10:40 | twenty to eleven a.m.                | sabah on bire yirmi var
643  | 10:41 | nineteen minutes to eleven a.m.      | sabah on bire on dokuz var
644  | 10:42 | eighteen minutes to eleven a.m.      | sabah on bire on sekiz var
645  | 10:43 | seventeen minutes to eleven a.m.     | sabah on bire on yedi var
646  | 10:44 | sixteen minutes to eleven a.m.       | sabah on bire on altı var
647  | 10:45 | a quarter to eleven a.m.             | sabah on bire çeyrek var
648  | 10:46 | fourteen minutes to eleven a.m.      | sabah on bire on dört var
649  | 10:47 | thirteen minutes to eleven a.m.      | sabah on bire on üç var
650  | 10:48 | twelve minutes to eleven a.m.        | sabah on bire on iki var
651  | 10:49 | eleven minutes to eleven a.m.        | sabah on bire on bir var
652  | 10:50 | ten to eleven a.m.                   | sabah on bire on var
653  | 10:51 | nine minutes to eleven a.m.          | sabah on bire dokuz var
654  | 10:52 | eight minutes to eleven a.m.         | sabah on bire sekiz var
655  | 10:53 | seven minutes to eleven a.m.         | sabah on bire yedi var
656  | 10:54 | six minutes to eleven a.m.           | sabah on bire altı var
657  | 10:55 | five to eleven a.m.                  | sabah on bire beş var
658  | 10:56 | four minutes to eleven a.m.          | sabah on bire dört var
659  | 10:57 | three minutes to eleven a.m.         | sabah on bire üç var
660  | 10:58 | two minutes to eleven a.m.           | sabah on bire iki var
661  | 10:59 | one minute to eleven a.m.            | sabah on bire bir var
662  | 11:00 | eleven o'clock a.m.                  | sabah on bir
663  | 11:01 | one minute past eleven a.m.          | sabah on biri bir geçiyor
664  | 11:02 | two minutes past eleven a.m.         | sabah on biri iki geçiyor
665  | 11:03 | three minutes past eleven a.m.       | sabah on biri üç geçiyor
666  | 11:04 | four minutes past eleven a.m.        | sabah on biri dört geçiyor
667  | 11:05 | five past eleven a.m.                | sabah on biri beş geçiyor
668  | 11:06 | six minutes past eleven a.m.         | sabah on biri altı geçiyor
669  | 11:07 | seven minutes past eleven a.m.       | sabah on biri yedi geçiyor
670  | 11:08 | eight minutes past eleven a.m.       | sabah on biri sekiz geçiyor
671  | 11:09 | nine minutes past eleven a.m.        | sabah on biri dokuz geçiyor
672  | 11:10 | ten past eleven a.m.                 | sabah on biri on geçiyor
673  | 11:11 | eleven minutes past eleven a.m.      | sabah on biri on bir geçiyor
674  | 11:12 | twelve minutes past eleven a.m.      | sabah on biri on iki geçiyor
675  | 11:13 | thirteen minutes past eleven a.m.    | sabah on biri on üç geçiyor
676  | 11:14 | fourteen minutes past eleven a.m.    | sabah on biri on dört geçiyor
677  | 11:15 | a quarter past eleven a.m.           | sabah on biri çeyrek geçiyor
678  | 11:16 | sixteen minutes past eleven a.m.     | sabah on biri on altı geçiyor
679  | 11:17 | seventeen minutes past eleven a.m.   | sabah on biri on yedi geçiyor
680  | 11:18 | eighteen minutes past eleven a.m.    | sabah on biri on sekiz geçiyor
681  | 11:19 | nineteen minutes past eleven a.m.    | sabah on biri on dokuz geçiyor
682  | 11:20 | twenty past eleven a.m.              | sabah on biri yirmi geçiyor
683  | 11:21 | twenty-one minutes past eleven a.m.  | sabah on biri yirmi bir geçiyor
684  | 11:22 | twenty-two minutes past eleven a.m.  | sabah on biri yirmi iki geçiyor
685  | 11:23 | twenty-three minutes past eleven a.m. | sabah on biri yirmi üç geçiyor
686  | 11:24 | twenty-four minutes past eleven a.m. | sabah on biri yirmi dört geçiyor
687  | 11:25 | twenty-five past eleven a.m.         | sabah on biri yirmi beş geçiyor
688  | 11:26 | twenty-six minutes past eleven a.m.  | sabah on biri yirmi altı geçiyor
689  | 11:27 | twenty-seven minutes past eleven a.m. | sabah on biri yirmi yedi geçiyor
690  | 11:28 | twenty-eight minutes past eleven a.m. | sabah on biri yirmi sekiz geçiyor
691  | 11:29 | twenty-nine minutes past eleven a.m. | sabah on biri yirmi dokuz geçiyor
692  | 11:30 | half past eleven a.m.                | sabah on bir buçuk
693  | 11:31 | twenty-nine minutes to twelve a.m.   | öğlen on ikiye yirmi dokuz var
694  | 11:32 | twenty-eight minutes to twelve a.m.  | öğlen on ikiye yirmi sekiz var
695  | 11:33 | twenty-seven minutes to twelve a.m.  | öğlen on ikiye yirmi yedi var
696  | 11:34 | twenty-six minutes to twelve a.m.    | öğlen on ikiye yirmi altı var
697  | 11:35 | twenty-five to twelve a.m.           | öğlen on ikiye yirmi beş var
698  | 11:36 | twenty-four minutes to twelve a.m.   | öğlen on ikiye yirmi dört var
699  | 11:37 | twenty-three minutes to twelve a.m.  | öğlen on ikiye yirmi üç var
700  | 11:38 | twenty-two minutes to twelve a.m.    | öğlen on ikiye yirmi iki var
701  | 11:39 | twenty-one minutes to twelve a.m.    | öğlen on ikiye yirmi bir var
702  | 11:40 | twenty to twelve a.m.                | öğlen on ikiye yirmi var
703  | 11:41 | nineteen minutes to twelve a.m.      | öğlen on ikiye on dokuz var
704  | 11:42 | eighteen minutes to twelve a.m.      | öğlen on ikiye on sekiz var
705  | 11:43 | seventeen minutes to twelve a.m.     | öğlen on ikiye on yedi var
706  | 11:44 | sixteen minutes to twelve a.m.       | öğlen on ikiye on altı var
707  | 11:45 | a quarter to twelve a.m.             | öğlen on ikiye çeyrek var
708  | 11:46 | fourteen minutes to twelve a.m.      | öğlen on ikiye on dört var
709  | 11:47 | thirteen minutes to twelve a.m.      | öğlen on ikiye on üç var
710  | 11:48 | twelve minutes to twelve a.m.        | öğlen on ikiye on iki var
711  | 11:49 | eleven minutes to twelve a.m.        | öğlen on ikiye on bir var
712  | 11:50 | ten to twelve a.m.                   | öğlen on ikiye on var
713  | 11:51 | nine minutes to twelve a.m.          | öğlen on ikiye dokuz var
714  | 11:52 | eight minutes to twelve a.m.         | öğlen on ikiye sekiz var
715  | 11:53 | seven minutes to twelve a.m.         | öğlen on ikiye yedi var
716  | 11:54 | six minutes to twelve a.m.           | öğlen on ikiye altı var
717  | 11:55 | five to twelve a.m.                  | öğlen on ikiye beş var
718  | 11:56 | four minutes to twelve a.m.          | öğlen on ikiye dört var
719  | 11:57 | three minutes to twelve a.m.         | öğlen on ikiye üç var
720  | 11:58 | two minutes to twelve a.m.           | öğlen on ikiye iki var
721  | 11:59 | one minute to twelve a.m.            | öğlen on ikiye bir var
722  | 12:00 | twelve o'clock / noon p.m.           | öğlen on iki
723  | 12:01 | one minute past twelve p.m.          | öğlen on ikiyi bir geçiyor
724  | 12:02 | two minutes past twelve p.m.         | öğlen on ikiyi iki geçiyor
725  | 12:03 | three minutes past twelve p.m.       | öğlen on ikiyi üç geçiyor
726  | 12:04 | four minutes past twelve p.m.        | öğlen on ikiyi dört geçiyor
727  | 12:05 | five past twelve p.m.                | öğlen on ikiyi beş geçiyor
728  | 12:06 | six minutes past twelve p.m.         | öğlen on ikiyi altı geçiyor
729  | 12:07 | seven minutes past twelve p.m.       | öğlen on ikiyi yedi geçiyor
730  | 12:08 | eight minutes past twelve p.m.       | öğlen on ikiyi sekiz geçiyor
731  | 12:09 | nine minutes past twelve p.m.        | öğlen on ikiyi dokuz geçiyor
732  | 12:10 | ten past twelve p.m.                 | öğlen on ikiyi on geçiyor
733  | 12:11 | eleven minutes past twelve p.m.      | öğlen on ikiyi on bir geçiyor
734  | 12:12 | twelve minutes past twelve p.m.      | öğlen on ikiyi on iki geçiyor
735  | 12:13 | thirteen minutes past twelve p.m.    | öğlen on ikiyi on üç geçiyor
736  | 12:14 | fourteen minutes past twelve p.m.    | öğlen on ikiyi on dört geçiyor
737  | 12:15 | a quarter past twelve p.m.           | öğlen on ikiyi çeyrek geçiyor
738  | 12:16 | sixteen minutes past twelve p.m.     | öğlen on ikiyi on altı geçiyor
739  | 12:17 | seventeen minutes past twelve p.m.   | öğlen on ikiyi on yedi geçiyor
