ENGLISH TIME - LEVEL 2 İPUCU LİSTESİ (410 Kelime)
====================================================

No   | English                               | Türkçe                                | English Hint (A2 Level)                             | Türkçe İpucu
262  | Listen to Something                   | Bir Şeyi Dinlemek                     | To hear music or words.                             | Müzik veya kelimeleri duymaya çalışmak.
263  | Shooting                              | Atış Yapma / Atış                     | Firing a gun for sport.                             | Spor için silah ateşlemek.
264  | Singing                               | Şarkı Söyleme                         | Making musical sounds with your voice.              | Sesinle müzikal sesler çıkarmak.
265  | Band                                  | Müzik Grubu                           | A group of people playing music together.           | Birlikte müzik çalan bir grup insan.
266  | Well-Known                            | İyi Bilinen                           | Famous, known by many people.                       | Ünlü, birçok insan tarafından bilinen.
267  | Lead Singer                           | Solist                                | The main person who sings in a band.                | Müzik grubunda şarkı söyleyen ana kişi.
268  | Concert                               | Konser                                | A show where people play live music.                | İnsanların canlı müzik çaldığı gösteri.
269  | Conductor                             | Orkestra Şefi                         | The person who leads an orchestra.                  | Bir orkestrayı yöneten kişi.
270  | Violinist                             | Kemancı                               | A person who plays the violin.                      | Keman çalan kişi.
271  | Violin                                | Keman                                 | A wooden instrument you play under your chin.       | Çeneni altında çaldığın ahşap enstrüman.
272  | Composer                              | Bestekar                              | A person who writes music.                          | Müzik yazan kişi.
273  | Perform                               | İcra Etmek                            | To sing or act in front of people.                  | İnsanların önünde şarkı söylemek veya oynamak.
274  | Thriller                              | Gerilim                               | An exciting and scary movie or book.                | Heyecan verici ve korkutucu film veya kitap.
275  | Exciting                              | Heyecan Verici                        | Making you feel very happy and active.              | Seni çok mutlu ve aktif hissettiren.
276  | Comedy                                | Komedi                                | A funny movie that makes you laugh.                 | Seni güldüren eğlenceli film.
277  | Funny                                 | Eğlenceli                             | Making you smile and laugh.                         | Seni gülümseten ve güldüren.
278  | Violent                               | Şiddetli / Şiddet İçerikli            | Having fighting and hurting people.                 | Dövüşme ve insanları incitme içeren.
279  | Love Story                            | Aşk Hikayesi                          | A movie about two people in love.                   | Aşık iki insan hakkında bir film.
280  | Cinema                                | Sinema                                | A place where you watch movies on a big screen.     | Büyük ekranda film izlediğin yer.
281  | Movie                                 | Film                                  | A moving picture you watch on TV or at the cinema.  | TV'de veya sinemada izlediğin hareketli resim.
282  | Review                                | İnceleme                              | Writing what you think about a book or movie.       | Bir kitap veya film hakkında ne düşündüğünü yazmak.
283  | Star                                  | Yıldız                                | A very famous actor or singer.                      | Çok ünlü bir aktör veya şarkıcı.
284  | Actor                                 | Aktör                                 | A person who plays a character in a movie.          | Bir filmde bir karakteri oynayan kişi.
285  | See a Film At the Cinema              | Sinemada Bir Film İzlemek             | To go out and watch a movie.                        | Dışarı çıkıp bir film izlemek.
286  | Media                                 | Medya                                 | TV, radio, and newspapers.                          | TV, radyo ve gazeteler.
287  | Magazine                              | Dergi                                 | A thin book with pictures and stories you buy every week.| Her hafta aldığın resimli ve hikayeli ince kitap.
288  | Report                                | Rapor                                 | A news story on TV or in a paper.                   | TV'de veya gazetede bir haber.
289  | Event                                 | Olay                                  | Something important that happens.                   | Gerçekleşen önemli bir şey.
290  | Die                                   | Ölmek                                 | To stop living.                                     | Yaşamayı bırakmak.
291  | War                                   | Savaş                                 | Fighting between countries.                         | Ülkeler arasındaki savaş/çatışma.
292  | Peace                                 | Barış / Huzur                         | No war; quiet and calm.                             | Savaş olmaması; sessiz ve sakin.
293  | Disaster                              | Felaket                               | A very bad event like a big fire.                   | Büyük bir yangın gibi çok kötü bir olay.
294  | Celebrity                             | Ünlü (Kişi)                           | A famous person.                                    | Ünlü bir insan.
295  | Advert / Advertisement                | İlan / Reklam                         | A picture or video selling something.               | Bir şey satan bir resim veya video.
296  | Newspaper / Paper                     | Gazete                                | Large paper with daily news.                        | Günlük haberleri olan büyük kağıt.
297  | Find Out                              | Bulmak                                | To learn information.                               | Bilgi öğrenmek.
298  | Happen                                | Olmak / Meydana Gelmek                | To take place.                                      | Gerçekleşmek.
299  | Article                               | Makale                                | A piece of writing in a newspaper.                  | Gazetedeki bir yazı parçası.
300  | On TV                                 | Televizyonda                          | Showing on television.                              | Televizyonda gösterilen.
301  | On the Radio                          | Radyoda                               | Playing on the radio.                               | Radyoda çalan.
302  | Nothing Much                          | Önemli Bir Şey Değil                  | Not anything big or special.                        | Büyük veya özel bir şey değil.
303  | Weather Forecast                      | Hava Durumu / Tahmini                 | News about if it will rain or be sunny.             | Yağmur yağıp güneşli olacağı hakkındaki haber.
304  | Believe                               | İnanmak                               | To think something is true.                         | Bir şeyin doğru olduğunu düşünmek.
305  | To Go Abroad                          | Yurtdışına Gitmek                     | To go to another country.                           | Başka bir ülkeye gitmek.
306  | To Book a Flight                      | Bir Uçuş Rezervasyonu Yapmak          | To buy a ticket for a plane.                        | Bir uçak için bilet almak.
307  | Find Your Passport                    | Pasaportunu Bulmak                    | To look for your travel document.                   | Seyahat belgeni aramak/bulmak.
308  | To Get a Visa                         | Vize Almak                            | To get permission to enter a country.               | Bir ülkeye girmek için izin almak.
309  | To Get Travel Insurance               | Seyahat Sigortası Almak               | To pay for help if you get sick on holiday.         | Tatilde hastalanırsan yardım almak için para ödemek.
310  | To Get Foreign Currency               | Yabancı Ülke Parası Almak             | To buy the money used in another country.           | Başka bir ülkede kullanılan parayı almak.
311  | To Pack Your Suitcase                 | Valizini Toplamak                     | To put clothes in your bag for a trip.              | Bir gezi için kıyafetleri çantana koymak.
312  | To Hire a Car                         | Araba Kiralamak                       | To pay to use a car for a few days.                 | Bir arabayı birkaç gün kullanmak için para ödemek.
313  | To Arrange Something                  | Bir Şey Ayarlamak                     | To plan and prepare for something.                  | Bir şey için plan yapmak ve hazırlanmak.
314  | On Holiday                            | Tatilde                               | Away from work or school to rest.                   | Dinlenmek için işten veya okuldan uzakta olmak.
315  | Currency                              | Döviz                                 | The money a country uses.                           | Bir ülkenin kullandığı para.
316  | To Stay in a Hotel                    | Bir Otelde Kalmak                     | To sleep in a hotel during a trip.                  | Bir gezi sırasında otelde uyumak.
317  | Facilities                            | Özellikler / Tesisler                 | Things a hotel has, like a pool or gym.             | Havuz veya spor salonu gibi otelin sahip olduğu şeyler.
318  | Air Conditioning                      | Klima                                 | A machine that makes the air cold.                  | Havayı soğuk yapan makine.
319  | Central Heating                       | Merkezi Isıtma                        | A system that makes a building warm.                | Bir binayı sıcak yapan sistem.
320  | Staff                                 | Personel / Kadro                      | The people who work in a place.                     | Bir yerde çalışan insanlar.
321  | Helpful                               | Yardımcı / Yardımsever                | Happy to help you.                                  | Sana yardım etmekten mutlu olan.
322  | Tourist                               | Turist                                | A person visiting a place on holiday.               | Tatilde bir yeri ziyaret eden kişi.
323  | Delicious                             | Lezzetli                              | Tasting very good.                                  | Tadı çok güzel olan.
324  | Recommend                             | Önermek                               | To say something is good to try.                    | Bir şeyi denemenin iyi olduğunu söylemek.
325  | To Book A Room                        | Bir Oda Rezervasyonu Yapmak           | To save a room in a hotel for yourself.             | Kendin için bir otelde oda ayırtmak.
326  | Included                              | İçeren                                | Part of the price.                                  | Fiyata dahil olan kısım.
327  | Never Mind                            | Dert Etme / Boşver                    | It is not a problem.                                | Bu bir problem değil.
328  | Details                               | Detaylar                              | The small pieces of information.                    | Küçük bilgi parçaları.
329  | Double Room                           | Çift Kişilik Oda                      | A room with one big bed for two people.             | İki kişi için büyük bir yatağı olan oda.
330  | Single Room                           | Tek Kişilik Oda                       | A room for one person to sleep in.                  | Bir kişinin uyuması için olan oda.
331  | Twin Room                             | Çift Yataklı Oda                      | A room with two single beds.                        | İki tekli yatağı olan oda.
332  | That's a Shame                        | Bu Bir Utanç                          | That is sad or unlucky.                             | Bu üzücü veya şanssız bir durum.
333  | What a Shame                          | Ne Utanç Verici                       | Used when something is disappointing.               | Bir şey hayal kırıklığı yarattığında söylenir.
334  | Passengers                            | Yolcular                              | People travelling on a bus, train, or plane.        | Otobüs, tren veya uçakta seyahat eden insanlar.
335  | Airport                               | Havaalanı                             | The place where planes fly from.                    | Uçakların kalktığı yer.
336  | Luggage / Bag                         | Bagaj / Valiz                         | Bags you carry when you travel.                     | Seyahat ederken taşıdığın çantalar.
337  | Ticket                                | Bilet                                 | A piece of paper that lets you travel.              | Seyahat etmeni sağlayan kağıt parçası.
338  | Hand Luggage                          | El Bagajı                             | A small bag you take on the plane with you.         | Yanına, uçağa aldığın küçük çanta.
339  | Window Seat                           | Pencere Koltuğu                       | A seat next to the window.                          | Pencerenin yanındaki koltuk.
340  | Aisle                                 | Koridor                               | The walking space between seats.                    | Koltuklar arasındaki yürüme alanı.
341  | Have a Good Flight                    | İyi Uçuşlar                           | I hope your plane trip is nice.                     | Umarım uçak gezin güzel geçer.
342  | Departed                              | Ayrılmış / Kalkmış                    | Already left.                                       | Çoktan ayrılmış.
343  | Departure                             | Havalanma / Kalkış                    | The time the plane leaves.                          | Uçağın ayrıldığı zaman.
344  | Gate                                  | Kapı                                  | The door you go through to get on the plane.        | Uçağa binmek için geçtiğin kapı.
345  | Delay                                 | Gecikme                               | Being late.                                         | Geç kalmak / Gecikmek.
346  | Fasten Seat Belt                      | Emniyet Kemeri Takmak                 | To click your belt closed in a plane or car.        | Uçakta veya arabada kemerini kapatmak.
347  | Plane Takes Off                       | Uçak Kalkar                           | The plane goes up into the air.                     | Uçak havaya yükselir.
348  | Plane Lands                           | Uçak İner                             | The plane comes down to the ground.                 | Uçak yere iner.
349  | Baggage Reclaim                       | Bagaj Teslim                          | Where you pick up your bags after a flight.         | Uçuştan sonra çantalarını aldığın yer.
350  | To Go Through Customs                 | Gümrükten Geçmek                      | To have your bags checked at an airport.            | Havaalanında çantalarını kontrol ettirmek.
351  | Resort                                | Tatil Yeri                            | A place with hotels where people go for holidays.   | İnsanların tatil için gittiği otelleri olan yer.
352  | Fly                                   | Uçuş Yapmak                           | To travel by plane.                                 | Uçakla seyahat etmek.
353  | Rent an Apartment                     | Apartman Dairesi Kiralamak            | To pay to live in a flat for a short time.          | Kısa bir süre bir dairede yaşamak için para ödemek.
354  | Sunbathe                              | Güneşlenmek                           | To sit in the sun to get brown.                     | Esmerleşmek için güneşte oturmak.
355  | Relax                                 | Rahatlamak                            | To rest and be calm.                                | Dinlenmek ve sakin olmak.
356  | An Hour or So                         | Bir Saate Kadar                       | Around 60 minutes.                                  | Yaklaşık 60 dakika.
357  | To Go For a Walk                      | Yürüyüşe Çıkmak                       | To walk outside for fun.                            | Eğlence için dışarıda yürümek.
358  | Perfect                               | Mükemmel                              | Very good, with no problems.                        | Çok iyi, hiçbir sorunu yok.
359  | Map                                   | Harita                                | A paper showing roads and towns.                    | Yolları ve kasabaları gösteren kağıt.
360  | Guide                                 | Rehber                                | A person who shows you places.                      | Sana yerleri gösteren kişi.
361  | Guide Book                            | Rehber Kitap                          | A book with information for tourists.               | Turistler için bilgi içeren kitap.
362  | To Go Sightseeing                     | Geziye Çıkmak                         | To visit famous places in a city.                   | Bir şehirdeki ünlü yerleri ziyaret etmek.
363  | Art Gallery                           | Sanat Galerisi                        | A building to see beautiful paintings.              | Güzel tabloları görmek için bir bina.
364  | To Visit Museum                       | Müze Ziyaret Etmek                    | To go see old and important things.                 | Eski ve önemli şeyleri görmeye gitmek.
365  | To Look Around                        | Bakınmak / Etrafı Seyretmek           | To walk around and see what is there.               | Etrafta yürümek ve ne olduğuna bakmak.
366  | To Get Lost                           | Kaybolmak                             | Not knowing where you are.                          | Nerede olduğunu bilmemek.
367  | To Take Photos                        | Fotoğraf Çekmek                       | To use a camera to make pictures.                   | Resim yapmak için bir kamera kullanmak.
368  | Cash Machine                          | Para Çekme Makinesi                   | A machine in the street that gives money.           | Sokakta para veren makine (ATM).
369  | Change Dollars into Euro              | Doları Avroya Çevirmek                | To swap one money for another.                      | Bir parayı diğeriyle takas etmek.
370  | Exchange Rate                         | Döviz Kuru                            | How much one currency is worth in another.          | Bir para biriminin diğerinde ne kadar ettiği.
371  | Commission                            | Komisyon                              | Extra money you pay for a service.                  | Bir hizmet için ödediğin ekstra para.
372  | To Charge Someone                     | Birini Suçlamak                       | To say someone did a bad thing.                     | Birinin kötü bir şey yaptığını söylemek.
373  | Envelope                              | Zarf                                  | The paper cover for a letter.                       | Bir mektup için kağıt kılıf.
374  | Put a Stamp                           | Posta Pulu Koymak                     | To put a small sticker on a letter to send it.      | Göndermek için mektuba küçük bir etiket yapıştırmak.
375  | Postman                               | Postacı (Erkek)                       | A man who brings letters to your house.             | Evinize mektupları getiren adam.
376  | Postwoman                             | Postacı (Kadın)                       | A woman who brings letters to your house.           | Evinize mektupları getiren kadın.
377  | A Parcel                              | Koli / Parsel                         | A box you send in the mail.                         | Postada gönderdiğin kutu.
378  | Have a Nice Day                       | İyi Günler                            | A nice way to say goodbye.                          | Hoşçakal demenin güzel bir yolu.
379  | Have a Good Day                       | İyi Günler                            | A friendly goodbye.                                 | Arkadaşça bir veda.
380  | Well Done                             | Aferin                                | Good job.                                           | İyi iş / Tebrikler.
381  | Congratulations                       | Tebrikler                             | What you say when someone does something great.     | Biri harika bir şey yaptığında söylediğin şey.
382  | Good Luck                             | İyi Şanslar                           | Wishing good things for someone.                    | Biri için iyi şeyler dilemek.
383  | Cheers                                | Şerefe                                | Said before drinking with friends.                  | Arkadaşlarla içki içmeden önce söylenir.
384  | To Go Out For                         | Dışarı Çıkmak                         | To leave the house to do something fun.             | Eğlenceli bir şey yapmak için evden çıkmak.
385  | Come Around For                       | Dışarıda Buluşmak                     | To visit someone at their house or outside.         | Birini evinde veya dışarıda ziyaret etmek.
386  | Invite                                | Davet Etmek                           | To ask someone to come to your party.               | Birinden partine gelmesini istemek.
387  | Party                                 | Parti                                 | A fun meeting with friends, music, and food.        | Arkadaşlarla, müzik ve yemek olan eğlenceli buluşma.
388  | Great                                 | Harika                                | Very good.                                          | Çok iyi.
389  | I'd Love To                           | Çok İsterim                           | Saying yes to an invitation happily.                | Bir davete mutlu bir şekilde evet demek.
390  | That Sounds Lovely                    | Kulağa Hoş Geliyor                    | That seems like a very nice idea.                   | Bu çok güzel bir fikir gibi görünüyor.
391  | I'm Afraid I Can't                    | Korkarım Yapamam                      | A polite way to say no.                             | Hayır demenin kibar bir yolu.
392  | Suggest                               | Önermek                               | To give an idea.                                    | Bir fikir vermek.
393  | Offer                                 | Ismarlamak / Teklif Etmek             | To ask if someone wants something.                  | Birinin bir şey isteyip istemediğini sormak.
394  | Accept                                | Kabul Etmek                           | To say yes.                                         | Evet demek.
395  | Refuse                                | Geri Çevirmek                         | To say no.                                          | Hayır demek.
396  | Let Me Pay                            | Bırak Ben Ödeyeyim                    | I will give the money for this.                     | Bunun için parayı ben vereceğim.
397  | Let Me Give You a Lift                | Ben Seni Bırakayım                    | I will drive you in my car.                         | Seni arabamla götüreceğim.
398  | Apologize                             | Özür Dilemek                          | To say sorry for doing something wrong.             | Yanlış bir şey yaptığın için üzgün olduğunu söylemek.
399  | Rude                                  | Kaba                                  | Not polite; speaking badly.                         | Kibar olmayan; kötü konuşan.
400  | Lose                                  | Kaybetmek                             | Not knowing where your thing is.                    | Eşyanın nerede olduğunu bilmemek.
401  | Excellent                             | Harika                                | Really perfect.                                     | Gerçekten mükemmel.
402  | Think                                 | Düşünmek                              | To use your mind.                                   | Zihnini kullanmak.
403  | Thought                               | Düşünce                               | An idea in your head.                               | Kafandaki bir fikir.
404  | Agree With Someone                    | Biriyle Aynı Fikirde Olmak            | To have the same idea as another person.            | Başka bir kişiyle aynı fikre sahip olmak.
405  | Personally                            | Kişisel Olarak                        | My own opinion is...                                | Benim kendi fikrim...
406  | A Waste of Time                       | Zaman Kaybı                           | Using time for no good reason.                      | Zamanı iyi bir neden olmadan kullanmak.
407  | Take a Message                        | Mesaj / Not Almak                     | To write down words from someone on the phone.      | Telefondaki birinden gelen sözleri yazmak.
408  | Leave a Message                       | Mesaj Bırakmak                        | To say words for someone who is not there.          | Orada olmayan biri için sözler söylemek.
409  | Line is Busy                          | Hat Meşgul                            | The person is already talking on the phone.         | Kişi zaten telefonda konuşuyor.
410  | Wrong Number                          | Yanlış Numara                         | Calling a person you did not want to call.          | Aramak istemediğin bir kişiyi aramak.
